,variable,feature importance score,Feature importance Score
0,Horsepower_No,0.24696652444044914,0.247
1,Make_Ford,0.1239188640745416,0.1239
2,Torque_No,0.12259447817492093,0.1226
3,Engine Aspiration_Turbocharged,0.08712801627905666,0.0871
4,Body Size_Large,0.04277408952648054,0.0428
5,Body Style_SUV,0.03260506743855789,0.0326
6,Body Size_Midsize,0.03167691177698971,0.0317
7,Drivetrain_RWD,0.031109356126847836,0.0311
8,Engine Aspiration_Naturally Aspirated,0.028326695098006446,0.0283
9,Drivetrain_4WD,0.028093651360339426,0.0281
10,Drivetrain_AWD,0.02533431335059144,0.0253
11,Body Style_Cargo Van,0.02470052092630046,0.0247
12,Make_Audi,0.022889945677935317,0.0229
13,Body Style_Pickup Truck,0.0214688735508479,0.0215
14,Make_Mercedes-Benz,0.021306717511744996,0.0213
15,Body Size_Compact,0.02129677526931769,0.0213
16,Body Style_Sedan,0.01884655919312097,0.0188
17,Make_BMW,0.01352659078442129,0.0135
18,Make_Bentley,0.012668952422833831,0.0127
19,Body Style_Coupe,0.0076079684385826065,0.0076
20,Body Style_Convertible,0.0072971491519224895,0.0073
21,Make_Nissan,0.006225537145136116,0.0062
22,Engine Aspiration_Twin-Turbo,0.005060359220079746,0.0051
23,Engine Aspiration_Electric Motor,0.00404754763623778,0.004
24,Body Style_Wagon,0.003079272502449206,0.0031
25,Transmission_automatic,0.0021224863991570887,0.0021
26,Transmission_manual,0.0018914321124238191,0.0019
